17
    0    3    5   48   48    8    8    5    5    3    3    1000000    3    5    8    8     5
    3 0    3   48   48    8    8    5    5    1000000    1000000    3    1000000    3    8    8    5
    5    3 0   72   72   48   48   24   24    3    3    5    3    1000000   48   48   24
   48   48   74 0    1000000    6    6   12   12   48   48   48   48   74    6    6   12
   48   48   74    1000000 0    6    6   12   12   48   48   48   48   74    6    6   12
    8    8   50    6    6 0    1000000    8    8    8    8    8    8   50    1000000    1000000    8
    8    8   50    6    6    1000000 0    8    8    8    8    8    8   50    1000000    1000000    8
    5    5   26   12   12    8    8 0    1000000    5    5    5    5   26    8    8    1000000
    5    5   26   12   12    8    8    1000000 0    5    5    5    5   26    8    8    1000000
    3    1000000    3   48   48    8    8    5    5 0    1000000    3    1000000    3    8    8    5
    3    1000000    3   48   48    8    8    5    5    1000000 0    3    1000000    3    8    8    5
    1000000    3    5   48   48    8    8    5    5    3    3 0    3    5    8    8   5
    3    1000000    3   48   48    8    8    5    5    1000000    1000000    3 0    3    8    8    5
    5    3    1000000   72   72   48   48   24   24    3    3    5    3 0   48   48   24
    8    8   50    6    6    1000000    1000000    8    8    8    8    8    8   50 0    1000000    8
    8    8   50    6    6    1000000    1000000    8    8    8    8    8    8   50    1000000 0    8
    5    5   26   12   12    8    8    1000000    1000000    5    5    5    5   26    8    8     0

